                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3681,                 2.1988,                 1.9461,                0.00301,                0.01638,                0.00026,                  5e-05,                 5.4724,                 300.26,                 35.527,               0.070469,              0.0032813,              0.0032813
                      2,                 1.3457,                 1.5165,                 1.9315,                0.04252,                0.03656,                0.00896,                0.00157,                 4.9507,                 5.6043,                 18.144,               0.039808,              0.0059538,              0.0059538
                      3,                 1.3424,                 1.4757,                  1.921,                0.07712,                0.22803,                0.03586,                0.01208,                 3.7168,                  4.588,                 6.0999,              0.0084812,              0.0079603,              0.0079603
                      4,                 1.2625,                 1.3965,                 1.8489,                0.21416,                0.31425,                0.19119,                0.09801,                   2.27,                 3.3671,                 3.0774,               0.007003,               0.007003,               0.007003
                      5,                 1.1739,                 1.2778,                 1.7248,                0.71062,                0.60558,                0.66218,                 0.4001,                 1.4465,                 1.6167,                 1.9952,               0.006004,               0.006004,               0.006004
                      6,                 1.0752,                 1.1967,                 1.6473,                0.61248,                0.56156,                 0.6052,                0.37153,                 1.3005,                  1.897,                 1.8207,               0.005005,               0.005005,               0.005005
                      7,                 1.0207,                 1.1183,                 1.5737,                0.75691,                0.70221,                0.75667,                0.52442,                 1.0989,                 1.1598,                 1.6321,               0.004006,               0.004006,               0.004006
                      8,                 0.9723,                 1.0776,                 1.5256,                0.73072,                 0.7188,                0.75878,                0.52744,                   1.04,                 1.1267,                 1.5666,               0.003007,               0.003007,               0.003007
                      9,                0.91327,                 1.0152,                 1.4813,                0.65373,                0.61725,                0.67796,                0.49033,                 1.0619,                 1.4139,                 1.5379,               0.002008,               0.002008,               0.002008
                     10,                0.85111,                0.95341,                 1.4188,                0.76952,                0.72975,                0.78901,                0.59283,                0.90068,                 1.0764,                 1.4067,               0.001009,               0.001009,               0.001009
